"Obs_ID","Study_ID","Authors_and_Year","Year","Taxon","Taxon_Phylo","Class","Class_Order","Speciation_proxy","SexSel_measure","SexSel_proxy","SexSel_proxy_mechanism","SexSel_proxy_stage","SexSel_proxy_sex","PhyloCorrection","N_r","r","r_Var","r_lCI","r_uCI","z","z_Var","z_lCI","z_uCI"
129,36,"Cardoso and Mota 2008",2008,"Carduelis","Carduelis","Aves",6,"Speciation rate","Female plumage colouration","Trait","Choice","Pre-mating","Female","Yes",23,-0.07,0.045,-0.48577878733769,0.34577878733769,-0.0701,0.05,-0.508269323589959,0.368269323589959
130,36,"Cardoso and Mota 2008",2008,"Carduelis","Carduelis","Aves",6,"Speciation rate","Female plumage carotenoids","Trait","Choice","Pre-mating","Female","Yes",23,-0.02,0.0454,-0.437622604752185,0.397622604752185,-0.02,0.05,-0.458269323589959,0.418269323589959
131,36,"Cardoso and Mota 2008",2008,"Carduelis","Carduelis","Aves",6,"Speciation rate","Female plumage melanin","Trait","Choice","Pre-mating","Female","Yes",23,0,0.0455,-0.41808228855095,0.41808228855095,0,0.05,-0.438269323589959,0.438269323589959
135,37,"Svensson and Waller 2013",2013,"Calopterygidae","Calopterygidae","Insecta",2,"Speciation rate","Wing pigmentation","Trait","Choice","Pre-mating","Male","Yes",161,0.1619,0.0059,0.0113495433417753,0.312450456658225,0.1633,0.0063,0.00632982290940207,0.317470177090598
136,38,"Seddon et al. 2013",2013,"Aves","Aves","Aves",6,"Diversification rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",39,0.1056,0.0257,-0.208611903020875,0.419811903020875,0.106,0.0278,-0.221197307210448,0.432397307210448
137,39,"Magnuson-Ford and Otto 2012",2012,"Primates","Primates","Mammalia",7,"Speciation rate","Mating system","Mating system","Both","Both","Both","Yes",146,0.1503,0.0066,-0.00893115273086484,0.309531152730865,0.1514,0.007,-0.0136853652006788,0.314285365200679
138,40,"FitzJohn et al. 2009",2009,"Charadriiformes","Charadriiformes","Aves",6,"Speciation rate","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",350,0.1098,0.0028,0.00608654860626805,0.213513451393732,0.1102,0.0029,0.00425076978016373,0.215349230219836
139,41,"Hendry et al. 2014",2014,"Crotalinae","Crotalinae","Squamata",5,"Speciation rate","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",80,-0.0841,0.0125,-0.303234661794979,0.135034661794979,-0.0843,0.013,-0.307574383319431,0.139374383319431
142,43,"Murali et al. 2023",2023,"Iguania","Iguania","Squamata",5,"Diversification rate","Presence of follicular glands","Trait","Choice","Pre-mating","Male","Yes",2002,0.0342,5e-04,-0.00962693235899588,0.0780269323589959,0.0342,5e-04,-0.00962693235899588,0.0780269323589959
143,43,"Murali et al. 2023",2023,"Gekkota","Gekkota","Squamata",5,"Diversification rate","Presence of follicular glands","Trait","Choice","Pre-mating","Male","Yes",2095,0.0035,5e-04,-0.0403269323589959,0.0473269323589959,0.0035,5e-04,-0.0403269323589959,0.0473269323589959
144,44,"Cooney et al. 2017",2017,"Passeriformes","Passeriformes","Aves",6,"Speciation rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",144,0.1109,0.0068,-0.0507257405242123,0.272525740524212,0.1113,0.0071,-0.0542525355542566,0.276052535554257
145,45,"Maia et al. 2013",2013,"Sturnidae","Sturnidae","Aves",6,"Speciation rate","Presence of derived melanosomes","Trait","Choice","Pre-mating","Both","Yes",113,0.2225,0.0081,0.0461,0.3989,0.2263,0.0091,0.0355279165222787,0.409472083477721
146,46,"Alfaro et al. 2009",2009,"Labridae","Labridae","Actinopterygii",3,"Diversification rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",131,0.2976,0.0064,0.1408,0.4544,0.3069,0.0078,0.124497487019974,0.470702512980026
149,48,"Iglesias-Carrasco et al. 2019",2019,"Aves","Aves","Aves",6,"Diversification rate","Mating system","Mating system","Both","Both","Both","Yes",173,0.1953,0.0054,0.0512700031243491,0.339329996875651,0.1979,0.0059,0.0447495433417753,0.345850456658225
150,49,"De Solan et al. 2023",2023,"Lacertidae","Lacertidae","Squamata",5,"Speciation rate","Male colouration","Trait","Choice","Pre-mating","Male","Yes",297,0.0135,0.0034,-0.100786657138968,0.127786657138968,0.0135,0.0034,-0.100786657138968,0.127786657138968
151,50,"Luria-Manzano et al. 2023",2023,"Hylinae","Hylinae","Amphibia",4,"Speciation rate","Physical combat","Trait","Choice","Pre-mating","Male","Yes",33,-0.3366,0.0246,-0.644013987970619,-0.0291860120293808,-0.3503,0.0333,-0.694266436781535,0.0210664367815353
152,50,"Luria-Manzano et al. 2023",2023,"Hylinae","Hylinae","Amphibia",4,"Speciation rate","Territorial call","Trait","Competition","Pre-mating","Male","Yes",33,0.5076,0.0172,0.250548409847362,0.764651590152639,0.5595,0.0333,0.149933563218465,0.865266436781535
153,51,"Portik et al. 2019",2019,"Hyperoliidae","Hyperoliidae","Amphibia",4,"Speciation rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",283,0.1347,0.0034,0.0204133428610321,0.248986657138968,0.1355,0.0036,0.0171,0.2523
154,52,"Januario et al. 2024",2024,"Vertebrata","Vertebrata","Animalia",8,"Speciation rate","Male opportunity for sexual selection (cMS)","Other","Both","Pre-mating","Male","Yes",21,-0.06,0.0496,-0.496512726045874,0.376512726045874,-0.0601,0.0556,-0.522161184004023,0.402161184004023
155,52,"Januario et al. 2024",2024,"Vertebrata","Vertebrata","Animalia",8,"Speciation rate","Male opportunity for sexual selection (gMS)","Other","Both","Both","Male","Yes",53,0.0173,0.0192,-0.2542855666268,0.2888855666268,0.0173,0.02,-0.259885858225127,0.294485858225127
156,52,"Januario et al. 2024",2024,"Vertebrata","Vertebrata","Animalia",8,"Speciation rate","Male Bateman gradient (cMS)","Other","Both","Pre-mating","Male","Yes",6,0.1196,0.1943,-0.74435768414894,0.98355768414894,0.1202,0.3333,-1.01194994587071,1.25114994587071
157,52,"Januario et al. 2024",2024,"Vertebrata","Vertebrata","Animalia",8,"Speciation rate","Male Bateman gradient (gMS)","Other","Both","Both","Male","Yes",36,0.1972,0.0264,-0.12126230546173,0.51566230546173,0.1998,0.0303,-0.143975145636373,0.538375145636373
158,52,"Januario et al. 2024",2024,"Vertebrata","Vertebrata","Animalia",8,"Speciation rate","Female opportunity for sexual selection (cMS)","Other","Both","Pre-mating","Female","Yes",15,0.0332,0.0713,-0.490160372974493,0.556560372974493,0.0332,0.0833,-0.532490091834743,0.598890091834743
159,52,"Januario et al. 2024",2024,"Vertebrata","Vertebrata","Animalia",8,"Speciation rate","Female opportunity for sexual selection (gMS)","Other","Both","Both","Female","Yes",48,0.11,0.0208,-0.172675219996377,0.392675219996377,0.1104,0.0222,-0.182033422744726,0.402033422744726
160,52,"Januario et al. 2024",2024,"Vertebrata","Vertebrata","Animalia",8,"Speciation rate","Female Bateman gradient (gMS)","Other","Both","Both","Female","Yes",32,-0.0332,0.0322,-0.384909425520557,0.318509425520557,-0.0332,0.0345,-0.397253842171732,0.330853842171732
